Cargo;Salário
Gerente de Vendas e Operações I;6972,713653
Gerente de Vendas e Operações II;7774,028859
Gerente de Vendas e Operações III;8706,344064
Gerente de Vendas e Operações IV;9639,65927
Gerente de Vendas e Operações V;10682,97448
Gerente de Canal de Vendas e Operações I;10841,28968
Gerente de Canal de Vendas e Operações II;12322,48169
Gerente de Canal de Vendas e Operações III;13802,6737
Gerente de Canal de Vendas e Operações IV;15283,86571
Gerente de Canal de Vendas e Operações V;16765,05772
Gerente de Praça de Vendas e Operações I;12068,37422
Gerente de Praça de Vendas e Operações II;13382,95926
Gerente de Praça de Vendas e Operações III;14860,19056
Gerente de Praça de Vendas e Operações IV;16558,42186
Gerente de Praça de Vendas e Operações V;18255,65316
Auxiliar de Vendas I;2832,44003
Auxiliar de Vendas II;2863,44003
Auxiliar de Vendas III;2893,44003
Auxiliar de Vendas IV;2923,44003
Auxiliar de Vendas V;2953,44003
Líder de Vendas I;3867,220556
Líder de Vendas II;3989,220556
Líder de Vendas III;4110,220556
Líder de Vendas IV;4231,220556
Líder de Vendas V;4352,220556
Operador(a) de Caixa I;2772,44003
Operador(a) de Caixa II;2802,44003
Operador(a) de Caixa III;2832,44003
Operador(a) de Caixa IV;2863,44003
Operador(a) de Caixa V;2893,44003
Aprendiz;1097,964444
Estagiário I;900
Estagiário II;1.100,00
Estagiário III;1.300,00
Estagiário IV;1.500,00
Estagiário V;1.700,00
Auxiliar de Serviços Gerais;1.571,57
Consultor(a) de Negócios I;3135,44003
Consultor(a) de Negócios II;3257,44003
Consultor(a) de Negócios III;3378,44003
Consultor(a) de Negócios IV;3499,44003
Consultor(a) de Negócios V;3620,44003
