BCPS;SAP;Loja;Area Total;Caixas;Qtd Prateleiras;Esp Conv;Copa;Escritorio;Shopping;HorasOperacionais;DiasOperacionaisMes;ItensEstoque;CustoEstoque
21123;4047;AREINHA;298,46;;;False;False;False;False;10,0;27,666666666666668;148315;6317670,889
21767;4094;CAMPINA GRANDE;269,93;6;40,0;True;True;True;False;12,0;25,666666666666668;147766;7732365,431
23772;A108;CANGUARETAMA;50,73;;;False;False;False;False;9,0;24,7;18284;779607,0415
20924;4039;CARUTAPERA;41,74;;;False;False;False;False;10,0;25,916666666666668;18562;774846,9611
21270;4052;CEARÁ-MIRIM;104,41;3;;False;False;False;False;7,0;26,0;45993;1958870,7
19595;4037;CENTRO MOSSORÓ;264,1;5;55,0;True;True;True;False;10,0;26,166666666666668;181336;6772118,14
21422;4064;CIDADE OPERARIA;56,4;;;False;False;False;False;10,0;27,583333333333332;44168;1932742,375
21559;4082;CONDE;45,41;;;False;False;False;False;10,0;25,75;18528;743041,5529
24582;A120;ER CAMOCIM;75,97;;;False;False;False;False;9,0;20,25;33718;1615021,33
24591;A129;ER ITAPIPOCA;186,92;;;False;False;False;False;10,5;20,25;54325;2710493,812
12488;4020;EXTREMOZ;62,69;2;25,0;False;False;False;False;9,0;25,916666666666668;29922;1272462,627
23258;4096;GOIANINHA;183,94;3;59,0;True;True;True;False;9,0;25,75;37269;1524871,637
20922;4040;GOV. NUNES FREIRE;58,43;;;False;False;False;False;9,0;25,916666666666668;14989;595752,5462
21561;4080;ITABAIANA;86,55;3;28,0;False;True;True;False;10,0;25,666666666666668;47495;1888710,356
23660;A114;JOÃO CÂMARA;92,17;;;False;False;False;False;10,5;24,0;18608;963424,8126
21232;4026;LAGOA SECA;62,94;;;False;False;False;False;9,0;25,272727272727273;18183;703119,6085
21316;4051;MACAU;45,87;;;False;False;False;False;9,0;24,083333333333332;23319;939956,7339
20923;4041;MARACAÇUMÉ;60,78;;;False;False;False;False;9,0;25,916666666666668;28264;1157104,168
21124;4048;MARAJÓ;214,27;;;False;False;False;False;9,5;27,666666666666668;95539;3974931,336
21736;4054;NEVALDO ROCHA;328,79;6;85,0;True;True;True;False;12,0;25,916666666666668;151291;7469324,759
20836;4050;NORTE SHOPPING;227,08;6;62,0;True;True;True;True;12,0;30,0;114415;4416372,375
23768;A102;NOVA CRUZ;31,96;;;False;False;False;False;9,5;24,11111111111111;29930;1326590,84
21415;4056;PARACURU;51,73;2;19,0;False;True;False;False;9,5;26,416666666666668;24508;980366,098
21413;4059;PARAIPABA;22,16;2;43,0;True;False;False;False;10,0;26,583333333333332;17975;722672,0058
24088;4097;PARNAMIRIM;229,83;7;61,0;True;True;True;False;10,0;25,0;82931;3478553,075
21411;4055;PECÉM;49,55;;;False;False;False;False;11,0;26,416666666666668;18913;720245,6335
21414;4057;PENTECOSTE;64,91;;;False;False;False;False;10,0;26,333333333333332;44292;1740034,509
23775;A113;SANTA CRUZ HÍBRIDA;58,47;;;False;False;False;False;9,0;26,22222222222222;28504;1255152,268
20934;4038;SANTA INÊS;177,88;;;False;False;False;False;10,3;25,916666666666668;81325;3648609,741
20925;4042;SANTA LUZIA DO PARUÁ;40,24;;;False;False;False;False;9,0;25,916666666666668;18395;745749,5309
20933;4043;SANTA LUZIA DO TIDE;48,86;;;False;False;False;False;10,0;25,75;25792;1025957,094
23779;A112;SANTO ANTÔNIO HÍBRIDA;57,68;;;False;False;False;False;9,0;27,25;24209;1144628,058
21365;4058;SÃO GONÇALO CE;46,62;;;False;False;False;False;8,0;26,25;17258;733919,2928
20156;4028;SÃO GONÇALO DO AMARANTE;0,0;;;False;False;False;False;8,3;25,916666666666668;45371;1839049,173
23716;A105;SÃO PAULO DO POTENGI;81,5;;;False;False;False;False;8,0;26,2;24888;1150050,363
23776;A106;TANGARÁ HÍBRIDA;49,5;;;False;False;False;False;9,0;26,22222222222222;20728;871872,763
21376;4053;TOUROS;57,47;;;False;False;False;False;9,0;24,083333333333332;21241;856703,7249
21412;4060;TRAIRI;79,38;2;25,0;False;False;True;False;10,0;26,583333333333332;34273;1490295,528
21125;4049;TURU;173,37;;;False;False;False;False;10,14;27,666666666666668;105968;4333917,933
20932;4045;ZÉ DOCA;33,07;;;False;False;False;False;9,0;25,75;17330;641981,0948
