BCPS;SAP;Loja;GVO;GCVO;GPVO;QtdAux;QtdLid;Caixa;Aprendiz;ASG;ConsultorNegocios;ConsultorVendas;Estoquistas;Segurança;Analistas&Supervisores;Assistentes;TOTAL;TotalMapeado;SalarioMapeado;%disp;%absent
21123;4047;AREINHA;2;1;0;55;4;1;3;2;2;0;6;3;2;2;82;67,0;0,0;0,88047138;0,1195286199999999
21767;4094;CAMPINA GRANDE;0;0;1;34;4;0;2;2;2;0;5;1;2;0;53;44,0;0,0;0,803475936;0,196524064
23772;A108;CANGUARETAMA;0;0;0;3;0;0;0;0;0;2;1;0;0;0;6;3,0;0,0;0,909090909;0,090909091
20924;4039;CARUTAPERA;0;0;0;5;1;0;1;0;1;1;1;0;0;0;10;8,0;0,0;0,763636364;0,236363636
21270;4052;CEARÁ-MIRIM;1;0;1;4;2;0;1;0;0;2;1;0;0;0;12;7,0;0,0;0,832727273;0,1672727269999999
19595;4037;CENTRO MOSSORÓ;1;0;0;22;6;0;2;1;0;4;5;1;1;0;43;31,0;0,0;0,83951049;0,16048951
21422;4064;CIDADE OPERARIA;1;0;0;12;1;1;0;0;0;3;3;0;0;0;21;14,0;0,0;0,823140496;0,1768595039999999
21559;4082;CONDE;0;0;0;4;0;0;0;0;0;1;1;0;0;0;6;4,0;0,0;0,887878788;0,112121212
24582;A120;ER CAMOCIM;1;0;1;5;0;0;0;0;0;0;1;0;0;0;8;5,0;0,0;0,95;0,05
24591;A129;ER ITAPIPOCA;1;0;0;12;0;0;2;1;0;0;2;1;0;0;19;15,0;0,0;0,992207792;0,007792208
12488;4020;EXTREMOZ;0;0;0;3;2;1;1;0;1;2;1;0;0;0;11;8,0;0,0;0,536363636;0,4636363639999999
23258;4096;GOIANINHA;1;0;0;3;1;0;0;0;0;2;1;0;0;0;8;4,0;0,0;0,887878788;0,112121212
20922;4040;GOV. NUNES FREIRE;0;0;0;3;1;0;0;0;0;1;1;0;0;0;6;4,0;0,0;0,809090909;0,1909090909999999
21561;4080;ITABAIANA;0;0;1;9;3;0;1;0;0;4;2;0;0;0;20;13,0;0,0;0,914141414;0,0858585859999999
23660;A114;JOÃO CÂMARA;0;0;0;4;1;0;0;0;0;0;0;0;0;0;5;5,0;0,0;0,967272727;0,032727273
21232;4026;LAGOA SECA;0;0;0;4;1;0;0;0;0;1;1;0;0;0;7;5,0;0,0;0,93030303;0,0696969699999999
21316;4051;MACAU;0;0;0;3;1;0;0;0;0;2;1;0;0;0;7;4,0;0,0;0,768181818;0,231818182
20923;4041;MARACAÇUMÉ;0;0;0;5;0;0;0;0;0;0;2;0;0;0;7;5,0;0,0;0,961038961;0,038961039
21124;4048;MARAJÓ;1;0;0;41;2;0;1;0;1;0;5;0;0;0;51;45,0;0,0;0,881818182;0,118181818
21736;4054;NEVALDO ROCHA;1;1;0;31;5;0;3;0;0;0;5;0;0;0;46;39,0;0,0;0,887052342;0,1129476579999999
20836;4050;NORTE SHOPPING;1;0;0;33;4;1;4;0;0;0;5;0;0;1;49;42,0;0,0;0,869034091;0,130965909
23768;A102;NOVA CRUZ;0;0;1;3;1;0;1;0;0;2;1;0;0;0;9;5,0;0,0;0,848484848;0,151515152
21415;4056;PARACURU;0;0;1;4;1;0;1;0;0;2;0;0;0;0;9;6,0;0,0;0,836363636;0,163636364
21413;4059;PARAIPABA;0;0;0;4;1;0;1;0;0;2;2;0;0;0;10;6,0;0,0;0,870454545;0,129545455
24088;4097;PARNAMIRIM;1;0;0;21;4;0;2;0;0;0;3;0;0;0;31;27,0;0,0;0,842272727;0,157727273
21411;4055;PECÉM;1;0;0;4;0;0;1;0;0;2;1;0;0;0;9;5,0;0,0;0,661363636;0,3386363639999999
21414;4057;PENTECOSTE;0;0;0;3;0;0;0;0;1;2;2;0;0;0;8;4,0;0,0;0,881818182;0,118181818
23775;A113;SANTA CRUZ HÍBRIDA;0;0;0;3;1;0;0;0;0;2;1;0;0;0;7;4,0;0,0;0,848484848;0,151515152
20934;4038;SANTA INÊS;1;0;1;15;3;0;2;1;2;8;6;1;1;0;41;23,0;0,0;0,873796791;0,126203209
20925;4042;SANTA LUZIA DO PARUÁ;0;0;0;3;2;0;0;0;1;1;1;0;0;0;8;6,0;0,0;0,796969697;0,203030303
20933;4043;SANTA LUZIA DO TIDE;0;0;0;5;1;0;1;0;1;2;2;0;0;0;12;8,0;0,0;0,632727273;0,367272727
23779;A112;SANTO ANTÔNIO HÍBRIDA;0;0;0;3;1;0;0;0;0;2;1;0;0;0;7;4,0;0,0;0,887878788;0,112121212
21365;4058;SÃO GONÇALO CE;0;0;0;3;1;0;1;0;0;3;1;0;0;0;9;5,0;0,0;0,854545455;0,145454545
20156;4028;SÃO GONÇALO DO AMARANTE;1;0;0;6;3;0;1;0;0;0;1;0;0;0;12;10,0;0,0;0,812121212;0,187878788
23716;A105;SÃO PAULO DO POTENGI;0;0;0;3;0;0;0;0;0;2;1;0;0;0;6;3,0;0,0;0,675757576;0,324242424
23776;A106;TANGARÁ HÍBRIDA;0;0;0;2;0;0;0;0;0;2;1;0;0;0;5;2,0;0,0;0,881818182;0,118181818
21376;4053;TOUROS;0;0;0;4;0;0;0;0;0;1;1;0;0;0;6;4,0;0,0;0,929545455;0,070454545
