Praça;BPCS;Loja;Faturamento;Itens;Boletos;Data;DataPedido;CodPedido
São Luís;21123,0;AREINHA;158493,5;3;236;01/02/2025;;
São Luís;21123,0;AREINHA;95923,23;2;173;01/03/2025;;
São Luís;21123,0;AREINHA;141342,12;2;259;01/04/2025;;
São Luís;21123,0;AREINHA;247703,37;4;408;01/07/2025;;
São Luís;21123,0;AREINHA;208393,65;3;314;01/08/2025;;
São Luís;21123,0;AREINHA;187550,23;4;290;01/09/2025;;
São Luís;21123,0;AREINHA;167699,96;4;235;01/10/2025;;
São Luís;21123,0;AREINHA;224681,36;4;362;01/11/2025;;
São Luís;21123,0;AREINHA;186482,65;3;319;01/12/2025;;
São Luís;21123,0;AREINHA;86083,25;2;156;02/01/2025;;
São Luís;21123,0;AREINHA;177961,35;3;325;02/04/2025;;
São Luís;21123,0;AREINHA;210395,88;3;343;02/05/2025;;
São Luís;21123,0;AREINHA;151429,33;3;308;02/06/2025;;
São Luís;21123,0;AREINHA;222376,87;4;395;02/07/2025;;
São Luís;21123,0;AREINHA;208002,68;3;287;02/08/2025;;
São Luís;21123,0;AREINHA;194057,51;4;359;02/09/2025;;
São Luís;21123,0;AREINHA;210168,28;5;317;02/10/2025;;
São Luís;21123,0;AREINHA;191075,31;3;357;02/12/2025;;
São Luís;21123,0;AREINHA;113113,04;2;219;03/01/2025;;
São Luís;21123,0;AREINHA;169879,93;3;309;03/02/2025;;
São Luís;21123,0;AREINHA;152325,54;3;283;03/04/2025;;
São Luís;21123,0;AREINHA;224220,75;3;360;03/05/2025;;
São Luís;21123,0;AREINHA;168029,19;3;325;03/06/2025;;
São Luís;21123,0;AREINHA;196303,32;4;314;03/07/2025;;
São Luís;21123,0;AREINHA;196140,21;4;314;03/09/2025;;
São Luís;21123,0;AREINHA;335561,75;5;355;03/10/2025;;
São Luís;21123,0;AREINHA;336351,64;7;519;03/11/2025;;
São Luís;21123,0;AREINHA;185871,24;4;368;03/12/2025;;
São Luís;21123,0;AREINHA;119987,71;2;186;04/01/2025;;
São Luís;21123,0;AREINHA;170839,88;3;301;04/02/2025;;
São Luís;21123,0;AREINHA;214309,26;4;328;04/04/2025;;
São Luís;21123,0;AREINHA;163103,58;3;299;04/06/2025;;
São Luís;21123,0;AREINHA;199815,53;4;306;04/07/2025;;
São Luís;21123,0;AREINHA;239864,64;4;337;04/08/2025;;
São Luís;21123,0;AREINHA;149922,89;3;261;04/09/2025;;
São Luís;21123,0;AREINHA;273344,74;4;365;04/10/2025;;
São Luís;21123,0;AREINHA;286002,09;6;426;04/11/2025;;
São Luís;21123,0;AREINHA;194172,71;4;367;04/12/2025;;
São Luís;21123,0;AREINHA;141351,83;2;274;05/02/2025;;
São Luís;21123,0;AREINHA;120238,92;2;260;05/03/2025;;
São Luís;21123,0;AREINHA;169621,94;3;255;05/04/2025;;
São Luís;21123,0;AREINHA;270023,62;4;367;05/05/2025;;
São Luís;21123,0;AREINHA;176588,22;3;293;05/06/2025;;
São Luís;21123,0;AREINHA;188174,82;4;278;05/07/2025;;
São Luís;21123,0;AREINHA;241144,04;4;354;05/08/2025;;
São Luís;21123,0;AREINHA;317229,13;6;412;05/09/2025;;
São Luís;21123,0;AREINHA;244999,16;5;381;05/11/2025;;
São Luís;21123,0;AREINHA;193428,68;4;307;05/12/2025;;
São Luís;21123,0;AREINHA;138445,27;3;229;06/01/2025;;
São Luís;21123,0;AREINHA;217375,01;4;343;06/02/2025;;
São Luís;21123,0;AREINHA;184849,48;3;334;06/03/2025;;
São Luís;21123,0;AREINHA;307684,12;4;388;06/05/2025;;
São Luís;21123,0;AREINHA;176809,77;3;312;06/06/2025;;
São Luís;21123,0;AREINHA;316885,11;5;448;06/08/2025;;
São Luís;21123,0;AREINHA;229041,58;4;344;06/09/2025;;
São Luís;21123,0;AREINHA;194992,75;3;272;06/10/2025;;
São Luís;21123,0;AREINHA;244845,28;5;382;06/11/2025;;
São Luís;21123,0;AREINHA;135979,53;3;226;06/12/2025;;
São Luís;21123,0;AREINHA;118472,53;2;202;07/01/2025;;
São Luís;21123,0;AREINHA;195606,02;3;323;07/02/2025;;
São Luís;21123,0;AREINHA;178557,31;3;302;07/03/2025;;
São Luís;21123,0;AREINHA;166798,38;3;293;07/04/2025;;
São Luís;21123,0;AREINHA;286068,09;4;439;07/05/2025;;
