BCPS;SAP;Estado;Praça;Loja;BaseTotal;%daBaseTotal;BaseAtiva;%Ativos;A0;A1aA3;I4aI6;Recuperados;TaxaReativacao;Reinicios;TaxaReinicios;Inicios;Churn;ReceitaTotalMes;Faturamento/Hora;%doFatTotal;ReaisPorAtivo;%Retirada;Pedidos/Hora;Pedidos/Dia;Itens/Pedido;AtividadeER;%IAF25;A0aA3;TaxaInicios;Unnamed: 30
21123;4047;MA;SÃO LUÍS;AREINHA;8361,0;10,17277041002555;7929,0;94,83315392895587;3208,0;3221,0;1932,0;101,0;5,227743271221532;228,0;2,875520242149073;204,0;3,5061168;5251969,716666667;19261,50262836186;11,573946569667457;632,2849693005338;69,45;29,947677261613695;299,47677261613694;17,83399547868427;38,3686162;0,869;6429,0;2,5728339008702235;
21767;4094;PB;CAMPINA GRANDE;CAMPINA GRANDE;5421,0;6,595692906679644;5173,0;95,42519830289613;2059,0;1975,0;1387,0;53,0;3,821196827685652;106,0;2,049101101875121;142,0;4,7361299;3618962,8925;11935,893444920845;7,975233182035237;729,942342737564;72,4;15,8051890941073;189,6622691292876;24,126868870231704;37,9819222;0,76;4034,0;2,745022230813841;
23772;A108;RN;LITORAL SUL;CANGUARETAMA;473,0;0,5754958024090522;464,0;98,09725158562368;183,0;193,0;97,0;4,0;4,123711340206185;2,0;0,43103448275862066;7,0;3,6637931;337592,23166666663;1523,85382349537;0,7439636293494619;855,0246475306036;100,0;1,6069444444444445;14,4625;29,298860278598564;38,6892178;0,701;376,0;1,5086206896551724;
20924;4039;MA;OMA;CARUTAPERA;925,0;1,1254410512227764;896,0;96,86486486486487;383,0;336,0;206,0;10,0;4,854368932038835;7,0;0,78125;22,0;3,3482143;547842,27;2145,59635770235;1,2072988809253193;643,479395096168;47,2;3,252480417754569;32,52480417754569;20,601526941711935;41,4054054;0,933;719,0;2,455357142857143;
21270;4052;RN;LITORAL NORTE;CEARÁ-MIRIM;1355,0;1,648619053412824;1299,0;95,86715867158672;505,0;579,0;271,0;16,0;5,904059040590406;25,0;1,924557351809084;31,0;3,7721324;774215,415;4320,398521205357;1,7061651780258429;769,4066236024845;99,99;5,450892857142857;38,15625;25,442360248447205;37,2693727;0,84;1084,0;2,386451116243264;
19595;4037;RN;MOSSORÓ;CENTRO MOSSORÓ;4203,0;5,113760798150627;4037,0;96,0504401617892;1585,0;1611,0;1007,0;29,0;2,8798411122144985;76,0;1,8825860787713649;90,0;3,3440674;3478000,29625;13515,545192681346;7,664589053196925;827,7750385267605;67,94;15,558549222797927;155,58549222797927;26,461428613929133;37,7111587;0,669;3196,0;2,229378251176616;
21422;4064;MA;SÃO LUÍS;CIDADE OPERARIA;77,0;0,09368536318286896;12,0;15,584415584415584;68,0;8,0;1,0;0,0;0,0;9,0;75,0;56,0;0,0;1272444,1866666665;4906,597120822622;2,8041290837280495;572,3137271364318;100,0;7,973521850899743;79,73521850899743;15,905597201399301;88,3116883;1,0;76,0;466,6666666666667;
21559;4082;PB;LESTE DA PARAÍBA;CONDE;538,0;0,6545808492517338;517,0;96,09665427509294;227,0;216,0;95,0;5,0;5,263157894736842;4,0;0,7736943907156674;17,0;2,5145068;352004,45125;1385,8442962598424;0,7757243340767702;696,0048467622343;55,67;1,9398950131233597;19,398950131233597;21,434503213049926;42,1933086;0,947;443,0;3,2882011605415857;
24582;A120;CE;OCE EXPANSÃO;ER CAMOCIM;2439,0;2,9675142961430834;2397,0;98,2779827798278;1064,0;915,0;460,0;23,0;5,0;26,0;1,0846891948268669;16,0;3,2123488;716810,1866666666;3643,915255386105;1,579659299014178;619,3636405529954;93,32;4,452432824981845;40,071895424836605;19,009504608294932;43,6244362;0,813;1979,0;0,6675010429703796;
24591;A129;CE;OCE EXPANSÃO;ER ITAPIPOCA;3538,0;4,304659934298576;3389,0;95,78858111927643;1554,0;1293,0;691,0;33,0;4,775687409551375;49,0;1,4458542342874006;100,0;3,1867808;1269268,5433333332;5530,581888162672;2,7971308091287725;578,0788872020646;100,0;7,309679427326485;76,7516339869281;20,69530894185517;43,9231204;0,867;2847,0;2,9507229271171433;
12488;4020;RN;LITORAL NORTE;EXTREMOZ;1215,0;1,4782820294439714;1162,0;95,63786008230453;434,0;472,0;309,0;8,0;2,5889967637540456;18,0;1,549053356282272;35,0;4,302926;451778,54;1955,7512554112552;0,9955999301917222;670,6677157172016;100,0;2,8790764790764793;25,911688311688312;22,344405269994432;35,7201646;1,0;906,0;3,0120481927710845;
23258;4096;RN;LITORAL SUL;GOIANINHA;737,0;0,8967027618931743;716,0;97,15061058344641;267,0;320,0;150,0;2,0;1,3333333333333335;7,0;0,9776536312849162;14,0;4,7486034;387609,31;1691,1400959860384;0,8541879877199603;767,9233481921743;100,0;2,149214659685864;19,342931937172775;24,482664685487865;36,2279512;0,907;587,0;1,9553072625698324;
20922;4040;MA;OMA;GOV. NUNES FREIRE;483,0;0,5876627326925417;463,0;95,8592132505176;192,0;191,0;100,0;2,0;2,0;4,0;0,8639308855291578;16,0;2,3758099;339271,07125;1476,3754188424716;0,7476633459671873;778,8145107604016;80,47;1,8520452567449956;16,66840731070496;24,558106169296988;39,7515528;0,835;383,0;3,455723542116631;
21561;4080;PB;LESTE DA PARAÍBA;ITABAIANA;1245,0;1,5147828202944398;1185,0;95,18072289156626;550,0;439,0;256,0;21,0;8,203125;28,0;2,3628691983122363;32,0;2,1940928;880041,79;3473,849171052632;1,939378405822017;744,2213868921776;60,58;4,561578947368421;45,61578947368421;24,747780126849893;44,1767068;0,733;989,0;2,70042194092827;
